Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
Puddara,Adjetivo,"las Pléyades (puñado de estrellas), M45",Español,,OK
Siculish,Adjetivo,"Siculish, dialecto siciliano-americano",Español,,OK
a la mbersa,Adjetivo,en el sentido inverso,Español,,OK
a la mmersa,Adjetivo,en el sentido inverso,Español,,OK
a la purcigna,Adjetivo,como los puercos,Español,,OK
a li tanti,Adjetivo,de vez en cuando,Español,,OK
abbaccalaratu,Adjetivo,"puesto mal, flaco, blando, perezoso",Español,,OK
abbaccariatu,Adjetivo,"1. sin dinero, sin un céntimo, pobre, 2 maltratado, 3. de salud delicada",Español,,OK
abbaccarunatu,Adjetivo,torpe,Español,,OK
abbadaluccatu,Adjetivo,estúpido,Español,,OK
abbampatu,Adjetivo,ardido,Español,,OK
abbanniatu,Adjetivo,"1. anunciado, proclamado, gridado, 2. famoso",Español,,OK
abbannunati,Adjetivo,abandonados,Español,,OK
abbanticu,Adjetivo,desde mucho tiempo,Español,,OK
abbasatu,Adjetivo,"basado, fundado",Español,,OK
abbaschiatu,Adjetivo,agitado,Español,,OK
abberi,Adjetivo,"hacia, cerca",Español,,OK
abbersu,Adjetivo,"hacia, cerca / en orden, de forma ordenada / adverso, desfavorable",Español,,OK
abbezzu,Adjetivo,"adverso, desfavorable",Español,,OK
abbifaratu,Adjetivo,que tiene la cara hinchada y de color malo,Español,,OK
abbràicu,Adjetivo,hebráico / idioma hebreo,Español,,OK
abbuccatu,Adjetivo,un poco dulce (vino),Español,,OK
abbuffatu,Adjetivo,"hinflado, abotargado",Español,,OK
abbummatu,Adjetivo,"1. borracho, 2. bombardeado; aturdido, atontado",Español,,OK
abbundanti,Adjetivo,abundante,Español,,OK
abbunnanti,Adjetivo,abundante,Español,,OK
abburdunarutu,Adjetivo,grosero,Español,,OK
abràicu,Adjetivo,hebráico / idioma hebreo,Español,,OK
acciaccusu,Adjetivo,enfermizo,Español,,OK
acciumatu,Adjetivo,"flaco, enfermo",Español,,OK
acciummatu,Adjetivo,"flaco, enfermo",Español,,OK
accunu,Adjetivo,alguno,Español,,OK
accupusu,Adjetivo,agrio,Español,,OK
acitizza,Adjetivo,"acidez, acideza",Español,,OK
acquignu,Adjetivo,"ácueo, acuoso",Español,,OK
addutu,Adjetivo,que tiene un tórax robusto,Español,,OK
affannatu,Adjetivo,"sin aliento, jadeando",Español,,OK
affaratu,Adjetivo,hecho vivaz y animado por sofocos,Español,,OK
affucusu,Adjetivo,agrio,Español,,OK
agghiùstitu,Adjetivo,"firme, seguro, estable, inmóvil",Español,,OK
aggittivu,Adjetivo,adjetivo,Español,,OK
aggiùstitu,Adjetivo,"firme, seguro, estable, inmóvil",Español,,OK
agguali,Adjetivo,igual,Español,,OK
agrestu,Adjetivo,"acerbo, no maduro (dicho sobretodo para las frutas), agraz",Español,,OK
agru,Adjetivo,agrio,Español,,OK
aguali,Adjetivo,igual,Español,,OK
alammersa,Adjetivo,en el sentido inverso,Español,,OK
alcunu,Adjetivo,alguno,Español,,OK
alicunu,Adjetivo,alguno,Español,,OK
alisu,Adjetivo,ácimo,Español,,OK
alla mbersa,Adjetivo,en el sentido inverso,Español,,OK
alla mmersa,Adjetivo,en el sentido inverso,Español,,OK
alla purcigna,Adjetivo,como los puercos,Español,,OK
allaccaratu,Adjetivo,"flaco, débil",Español,,OK
allaffannatu,Adjetivo,"sin aliento, jadeando",Español,,OK
allambersa,Adjetivo,en el sentido inverso,Español,,OK
allammersa,Adjetivo,en el sentido inverso,Español,,OK
allazzaratu,Adjetivo,lleno de heridas,Español,,OK
alleggiu,Adjetivo,"lentamente, despacio",Español,,OK
allegru,Adjetivo,alegre,Español,,OK
allimati,Adjetivo,agudos (sonidos),Español,,OK
allimatu,Adjetivo,agudo (sonido),Español,,OK
alliunatu,Adjetivo,"aleonado, leonado (color)",Español,,OK
alteru,Adjetivo,"altanero, altivo",Español,,OK
amaru,Adjetivo,amargo,Español,,OK
amaròsticu,Adjetivo,amarguito (un poco amargo),Español,,OK
ambiziusu,Adjetivo,ambicioso,Español,,OK
ambizziusu,Adjetivo,ambicioso,Español,,OK
amichèvuli,Adjetivo,amigable,Español,,OK
ammaccarrunatu,Adjetivo,torpe,Español,,OK
