Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
a bbizzeffa,Adverbio,"mucho, en abundancia",Español,,OK
a bbizzeffi,Adverbio,"mucho, en abundancia",Español,,OK
a bbuzzeffa,Adverbio,"mucho, en abundancia",Español,,OK
a bizzeffa,Adverbio,"mucho, en abundancia",Español,,OK
a bizzeffi,Adverbio,"mucho, en abundancia",Español,,OK
a buzzeffa,Adverbio,"mucho, en abundancia",Español,,OK
a camadora,Adverbio,"por el momento,  ahora",Español,,OK
a cca banna,Adverbio,de esta parte,Español,,OK
a cca bbanna,Adverbio,de esta parte,Español,,OK
a ccamora,Adverbio,"por el momento,  ahora",Español,,OK
a dda banna,Adverbio,de esta parte,Español,,OK
a dda bbanna,Adverbio,de esta parte,Español,,OK
a ddritta,Adverbio,de pie,Español,,OK
a la dritta,Adverbio,de pie,Español,,OK
a latu,Adverbio,"al lado, al lado",Español,,OK
a manu a manu,Adverbio,"inmediatamente, en seguida",Español,,OK
a mmunzidduni,Adverbio,"mucho, en abundancia",Español,,OK
a mmàtula,Adverbio,inútilmente,Español,,OK
a munzidduni,Adverbio,"mucho, en abundancia",Español,,OK
a màtula,Adverbio,inútilmente,Español,,OK
a pinninu,Adverbio,hacia lo bajo de la bajada,Español,,OK
a ppinninu,Adverbio,hacia lo bajo de la bajada,Español,,OK
a prupòsitu di,Adverbio,a propósito de,Español,,OK
a rassu,Adverbio,lejos,Español,,OK
a rrassu,Adverbio,lejos,Español,,OK
abbestra,Adverbio,separadamente,Español,,OK
abbintruni,Adverbio,cara en el suelo,Español,,OK
abbizzeffa,Adverbio,"mucho, en abundancia",Español,,OK
abbizzeffi,Adverbio,"mucho, en abundancia",Español,,OK
abbusivamenti,Adverbio,abusivamente,Español,,OK
abbuzzeffa,Adverbio,"mucho, en abundancia",Español,,OK
abusivamenti,Adverbio,abusivamente,Español,,OK
accabanna,Adverbio,de esta parte,Español,,OK
accabbanna,Adverbio,de esta parte,Español,,OK
accamadora,Adverbio,"por el momento,  ahora",Español,,OK
accamarora,Adverbio,"por el momento,  ahora",Español,,OK
accamora,Adverbio,"por el momento,  ahora",Español,,OK
accamuora,Adverbio,"por el momento,  ahora",Español,,OK
acciù,Adverbio,ahora,Español,,OK
adaciu,Adverbio,"despacio, lentamente",Español,,OK
adaggiu,Adverbio,"despacio, lentamente",Español,,OK
adagiu,Adverbio,"despacio, lentamente",Español,,OK
adasciu,Adverbio,"despacio, lentamente",Español,,OK
adaziu,Adverbio,por ejemplo,Español,,OK
adazziu,Adverbio,por ejemplo,Español,,OK
addabanna,Adverbio,de esta parte,Español,,OK
addabbanna,Adverbio,de esta parte,Español,,OK
addritta,Adverbio,de pie,Español,,OK
affacciu,Adverbio,"en frente, claramente",Español,,OK
agghiri,Adverbio,"hacia, cerca",Español,,OK
aggritta,Adverbio,de pie,Español,,OK
aguannu,Adverbio,este año,Español,,OK
aieri sira,Adverbio,anoche,Español,,OK
aierisira,Adverbio,anoche,Español,,OK
aiersira,Adverbio,anoche,Español,,OK
ajeri,Adverbio,ayer,Español,,OK
ajeri sira,Adverbio,anoche,Español,,OK
ajerisira,Adverbio,anoche,Español,,OK
ajersira,Adverbio,anoche,Español,,OK
all'antrasatta,Adverbio,"de improviso, de repente",Español,,OK
all'inversa,Adverbio,en el sentido inverso,Español,,OK
allatu,Adverbio,"al lado, al lado",Español,,OK
allinversa,Adverbio,en el sentido inverso,Español,,OK
ammanu ammanu,Adverbio,"inmediatamente, en seguida",Español,,OK
ammunzidduni,Adverbio,"mucho, en abundancia",Español,,OK
ammàtula,Adverbio,inútilmente,Español,,OK
and'ura,Adverbio,"hace poco, no hace mucho tiempo",Español,,OK
andura,Adverbio,"hace poco, no hace mucho tiempo",Español,,OK
annintra,Adverbio,"en el interno, dentro",Español,,OK
ant'ura,Adverbio,"hace poco, no hace mucho tiempo",Español,,OK
antura,Adverbio,"hace poco, no hace mucho tiempo",Español,,OK
appena,Adverbio,"a penas (apenas), justo",Español,,OK
appinninu,Adverbio,hacia lo bajo de la bajada,Español,,OK
araciu,Adverbio,"despacio, lentamente",Español,,OK
arasciu,Adverbio,"despacio, lentamente",Español,,OK
arrassu,Adverbio,lejos,Español,,OK
arredi,Adverbio,"1. detrás, 2. otra vez",Español,,OK
arredu,Adverbio,1. detrás,Español,,OK
arreri,Adverbio,"1. detrás, 2. otra vez",Español,,OK
arreru,Adverbio,1. detrás,Español,,OK
arreti,Adverbio,1. detrás,Español,,OK
arretu,Adverbio,1. detrás,Español,,OK
arrè,Adverbio,"1. detrás, 2. otra vez",Español,,OK
arsira,Adverbio,anoche,Español,,OK
arziu,Adverbio,por ejemplo,Español,,OK
assira,Adverbio,anoche,Español,,OK
avannu,Adverbio,este año,Español,,OK
avant'arsira,Adverbio,anteayer por la noche,Español,,OK
avantarsira,Adverbio,anteayer por la noche,Español,,OK
avantirazzu,Adverbio,un poco antes de anteayer,Español,,OK
beni,Adverbio,bien / bien,Español,,OK
bizzeffa,Adverbio,"mucho, en abundancia",Español,,OK
bizzeffi,Adverbio,"mucho, en abundancia",Español,,OK
buzzeffa,Adverbio,"mucho, en abundancia",Español,,OK
c',Adverbio,a este lugar,Español,,OK
ca,Adverbio,que,Español,,OK
camadora,Adverbio,"por el momento,  ahora",Español,,OK
camaruora,Adverbio,"por el momento,  ahora",Español,,OK
camora,Adverbio,"por el momento,  ahora",Español,,OK
cc',Adverbio,a este lugar,Español,,OK
ccabbanna,Adverbio,de esta parte,Español,,OK
ccamora,Adverbio,"por el momento,  ahora",Español,,OK
cchiù,Adverbio,"más, plus",Español,,OK
cci 'a,Adverbio,se la,Español,,OK
cci 'i,Adverbio,"se los, se las",Español,,OK
cci 'u,Adverbio,se lo,Español,,OK
cci a,Adverbio,se la,Español,,OK
cci i,Adverbio,"se los, se las",Español,,OK
cci la,Adverbio,se la,Español,,OK
cci li,Adverbio,"se los, se las",Español,,OK
cci lu,Adverbio,se lo,Español,,OK
cci u,Adverbio,se lo,Español,,OK
ccia,Adverbio,se la,Español,,OK
cciu,Adverbio,se lo,Español,,OK
cciâ,Adverbio,se la,Español,,OK
cciû,Adverbio,se lo,Español,,OK
ccî,Adverbio,"se los, se las",Español,,OK
chiassai,Adverbio,"además, más",Español,,OK
chiossai,Adverbio,"además, más",Español,,OK
