Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
'n,Articulo,en / un,Español,,OK
a,Articulo,la / la / a / a,Español,,OK
abbili,Articulo,"1. bilis (líquido de color amarillo), 2. ira, rabia",Español,,OK
abbitu,Articulo,abeto,Español,,OK
abitu,Articulo,abeto,Español,,OK
acitu,Articulo,vinagre,Español,,OK
antònimu,Articulo,antónimo,Español,,OK
arburi,Articulo,"1. luminosidad, 2. amanecer",Español,,OK
c'a,Articulo,con la,Español,,OK
c'o,Articulo,con el,Español,,OK
c'u,Articulo,con el,Español,,OK
c'â,Articulo,con la,Español,,OK
c'ô,Articulo,con el,Español,,OK
c'û,Articulo,con el,Español,,OK
cantaru,Articulo,antigua unidad de medida de peso,Español,,OK
ch'e,Articulo,con los / con las,Español,,OK
ch'i,Articulo,con los / con las,Español,,OK
ch'ê,Articulo,con los / con las,Español,,OK
ch'î,Articulo,con los / con las,Español,,OK
chê,Articulo,con los / con las,Español,,OK
chî,Articulo,con los / con las,Español,,OK
cilìu,Articulo,fior di farina per biancheggiare la tela,Italiano,,OK
cu a,Articulo,con la,Español,,OK
cu i,Articulo,con los / con las,Español,,OK
cu la,Articulo,con la,Español,,OK
cu li,Articulo,con los / con las,Español,,OK
cu lu,Articulo,con el,Español,,OK
cu u,Articulo,con el,Español,,OK
culla,Articulo,con la,Español,,OK
culli,Articulo,con los / con las,Español,,OK
cullu,Articulo,con el,Español,,OK
cumpagnìa,Articulo,compañía,Español,,OK
càntaru,Articulo,"bacinica, orinal",Español,,OK
câ,Articulo,con la,Español,,OK
cô,Articulo,con el,Español,,OK
cû,Articulo,con el,Español,,OK
d'a,Articulo,"de la / desde la, por la",Español,,OK
d'e,Articulo,"de los / de las / desde los, por los / desde las, por las",Español,,OK
d'i,Articulo,"de los / de las / desde los, por los / desde las, por las",Español,,OK
d'o,Articulo,"del / desde el, por el",Español,,OK
d'u,Articulo,"del / desde el, por el",Español,,OK
d'â,Articulo,"de la / desde la, por la",Español,,OK
d'ê,Articulo,"de los / de las / desde los, por los / desde las, por las",Español,,OK
d'î,Articulo,"de los / de las / desde los, por los / desde las, por las",Español,,OK
d'ô,Articulo,"del / desde el, por el",Español,,OK
d'û,Articulo,"del / desde el, por el",Español,,OK
di l',Articulo,"del / desde el, por el / de la / desde la, por la / de los / de las / desde los, por los / desde las, por las",Español,,OK
di la,Articulo,"de la / desde la, por la",Español,,OK
di li,Articulo,"de los / de las / desde los, por los / desde las, por las",Español,,OK
di lu,Articulo,"del / desde el, por el",Español,,OK
dâ,Articulo,"de la / desde la, por la",Español,,OK
dê,Articulo,"de los / de las / desde los, por los / desde las, por las",Español,,OK
dî,Articulo,"de los / de las / desde los, por los / desde las, por las",Español,,OK
dô,Articulo,"del / desde el, por el",Español,,OK
dû,Articulo,"del / desde el, por el",Español,,OK
erva di malupirtusu,Articulo,"maro (Teucrium marum), teucrio",Italiano,,OK
etimulugìa,Articulo,etimología,Español,,OK
frìscina,Articulo,arpón para la pesca,Español,,OK
fìscina,Articulo,arpón para la pesca,Español,,OK
i,Articulo,"los / las / los / las / de / desde, por",Español,,OK
l',Articulo,el / la / los / las,Español,,OK
la,Articulo,la / la,Español,,OK
li,Articulo,los / las / los / las,Español,,OK
lu,Articulo,el / lo,Español,,OK
m,Articulo,en / un,Español,,OK
m'a,Articulo,me la,Español,,OK
m'i,Articulo,"me los, me las",Español,,OK
m'u,Articulo,me lo,Español,,OK
m'â,Articulo,me la,Español,,OK
m'î,Articulo,"me los, me las",Español,,OK
m'û,Articulo,me lo,Español,,OK
malupirtusu,Articulo,vento di libeccio (vento di ovest-sud-ovest apportatore di pioggia),Italiano,,OK
mi la,Articulo,me la,Español,,OK
mi li,Articulo,"me los, me las",Español,,OK
mi lu,Articulo,me lo,Español,,OK
muddiu,Articulo,noioso,Italiano,,OK
muddìu,Articulo,fresno (Fraxinus),Español,,OK
mâ,Articulo,me la,Español,,OK
mî,Articulo,"me los, me las",Español,,OK
mònacu,Articulo,"monje, fraile",Español,,OK
mû,Articulo,me lo,Español,,OK
n,Articulo,en / un,Español,,OK
n',Articulo,un / una,Español,,OK
n'a,Articulo,nos la,Español,,OK
n'â,Articulo,nos la,Español,,OK
na,Articulo,una,Español,,OK
nd'a,Articulo,en la,Español,,OK
nd'e,Articulo,en los / en las,Español,,OK
nd'i,Articulo,en los / en las,Español,,OK
nd'o,Articulo,en el,Español,,OK
nd'u,Articulo,en el,Español,,OK
nd'â,Articulo,en la,Español,,OK
nd'ê,Articulo,en los / en las,Español,,OK
nd'î,Articulo,en los / en las,Español,,OK
nd'ô,Articulo,en el,Español,,OK
nd'û,Articulo,en el,Español,,OK
nda a,Articulo,en la,Español,,OK
nda i,Articulo,en los / en las,Español,,OK
nda la,Articulo,en la,Español,,OK
nda li,Articulo,en los / en las,Español,,OK
nda lu,Articulo,en el,Español,,OK
nda u,Articulo,en el,Español,,OK
ndi a,Articulo,en la,Español,,OK
ndi i,Articulo,en los / en las,Español,,OK
ndi la,Articulo,en la,Español,,OK
ndi li,Articulo,en los / en las,Español,,OK
ndi lu,Articulo,en el,Español,,OK
ndi u,Articulo,en el,Español,,OK
ndâ,Articulo,en la,Español,,OK
ndê,Articulo,en los / en las,Español,,OK
ndî,Articulo,en los / en las,Español,,OK
ndô,Articulo,en el,Español,,OK
ndû,Articulo,en el,Español,,OK
ni la,Articulo,nos la,Español,,OK
nn'a,Articulo,en la,Español,,OK
nn'e,Articulo,en los / en las,Español,,OK
nn'i,Articulo,en los / en las,Español,,OK
nn'o,Articulo,en el,Español,,OK
nn'u,Articulo,en el,Español,,OK
nn'â,Articulo,en la,Español,,OK
nn'ê,Articulo,en los / en las,Español,,OK
nn'î,Articulo,en los / en las,Español,,OK
nn'ô,Articulo,en el,Español,,OK
nn'û,Articulo,en el,Español,,OK
nna a,Articulo,en la,Español,,OK
nna i,Articulo,en los / en las,Español,,OK
nna la,Articulo,en la,Español,,OK
nna li,Articulo,en los / en las,Español,,OK
nna lu,Articulo,en el,Español,,OK
nna u,Articulo,en el,Español,,OK
nni a,Articulo,en la,Español,,OK
nni i,Articulo,en los / en las,Español,,OK
nni la,Articulo,en la,Español,,OK
nni li,Articulo,en los / en las,Español,,OK
nni lu,Articulo,en el,Español,,OK
nni u,Articulo,en el,Español,,OK
nnâ,Articulo,en la,Español,,OK
nnê,Articulo,en los / en las,Español,,OK
nnî,Articulo,en los / en las,Español,,OK
nnô,Articulo,en el,Español,,OK
nnû,Articulo,en el,Español,,OK
nt'a,Articulo,en la,Español,,OK
nt'e,Articulo,en los / en las,Español,,OK
nt'i,Articulo,en los / en las,Español,,OK
nt'o,Articulo,en el,Español,,OK
nt'u,Articulo,en el,Español,,OK
nt'â,Articulo,en la,Español,,OK
nt'ê,Articulo,en los / en las,Español,,OK
nt'î,Articulo,en los / en las,Español,,OK
nt'ô,Articulo,en el,Español,,OK
nt'û,Articulo,en el,Español,,OK
nta a,Articulo,en la,Español,,OK
nta i,Articulo,en los / en las,Español,,OK
nta l',Articulo,en el / en la / en los / en las,Español,,OK
nta la,Articulo,en la,Español,,OK
nta li,Articulo,en los / en las,Español,,OK
nta lu,Articulo,en el,Español,,OK
nta u,Articulo,en el,Español,,OK
nti a,Articulo,en la,Español,,OK
nti i,Articulo,en los / en las,Español,,OK
nti la,Articulo,en la,Español,,OK
nti li,Articulo,en los / en las,Español,,OK
nti lu,Articulo,en el,Español,,OK
nti u,Articulo,en el,Español,,OK
ntâ,Articulo,en la,Español,,OK
ntê,Articulo,en los / en las,Español,,OK
ntî,Articulo,en los / en las,Español,,OK
ntô,Articulo,en el,Español,,OK
ntû,Articulo,en el,Español,,OK
nâ,Articulo,nos la,Español,,OK
p'a,Articulo,para la,Español,,OK
p'e,Articulo,para los / para las,Español,,OK
p'i,Articulo,para los / para las,Español,,OK
p'o,Articulo,para el,Español,,OK
p'u,Articulo,para el,Español,,OK
p'â,Articulo,para la,Español,,OK
p'ê,Articulo,para los / para las,Español,,OK
p'î,Articulo,para los / para las,Español,,OK
p'ô,Articulo,para el,Español,,OK
p'û,Articulo,para el,Español,,OK
pi a,Articulo,para la,Español,,OK
pi i,Articulo,para los / para las,Español,,OK
pi la,Articulo,para la,Español,,OK
pi li,Articulo,para los / para las,Español,,OK
pi lu,Articulo,para el,Español,,OK
pi u,Articulo,para el,Español,,OK
