Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
-aru,Pronombre,"-ero, -ario",Español,,OK
-azzu,Pronombre,-azo,Español,,OK
-formi,Pronombre,-forme,Español,,OK
-imìa,Pronombre,-emia,Español,,OK
-luggìa,Pronombre,-logía,Español,,OK
-puli,Pronombre,-poles,Español,,OK
Addamu,Pronombre,Adán,Español,,OK
Amèrica,Pronombre,América,Español,,OK
Arfabbetu Funèticu Nternazziunali,Pronombre,Alfabeto Fonético Internacional,Español,,OK
Aropa,Pronombre,Europa,Español,,OK
Auropa,Pronombre,Europa,Español,,OK
Basiliscu,Pronombre,monstruo legendario,Español,,OK
Birnardu,Pronombre,Bernardo,Español,,OK
Brasili,Pronombre,Brasil,Español,,OK
Calabbria,Pronombre,Calabria,Español,,OK
Calabria,Pronombre,Calabria,Español,,OK
Diotru,Pronombre,elefante,Español,,OK
Dullindana,Pronombre,Durandarte (espada de Roldán),Español,,OK
Durlindana,Pronombre,Durandarte (espada de Roldán),Español,,OK
Durrindana,Pronombre,Durandarte (espada de Roldán),Español,,OK
Europa,Pronombre,Europa,Español,,OK
Figgi,Pronombre,Fiji,Español,,OK
Franciscu,Pronombre,Francisco,Español,,OK
Giappuni,Pronombre,Japón,Español,,OK
Gènua,Pronombre,Génova,Español,,OK
Islanna,Pronombre,Islanda,Español,,OK
Liotru,Pronombre,elefante,Español,,OK
Malta,Pronombre,Malta,Español,,OK
Martinu,Pronombre,Martín,Español,,OK
Maumettu,Pronombre,Mahoma,Español,,OK
Micheli,Pronombre,Miguel,Español,,OK
Mèrica,Pronombre,América,Español,,OK
Natali,Pronombre,Navidad,Español,,OK
Quarèsima,Pronombre,Cuaresma,Español,,OK
Saturnu,Pronombre,Saturno,Español,,OK
Terra,Pronombre,Tierra,Español,,OK
Wikizziunariu,Pronombre,Wikcionario,Español,,OK
a babbalà,Pronombre,a poco prezzo,Italiano,,OK
a cazzicaledda,Pronombre,paseo a cuestas,Español,,OK
a ccussì,Pronombre,"así, de esta forma",Español,,OK
a cussì,Pronombre,"así, de esta forma",Español,,OK
a ddì ddì,Pronombre,de paseo,Español,,OK
a firristò,Pronombre,"col cervello in volta, traviato (di mente)",Italiano,,OK
a gangalà,Pronombre,a poco prezzo,Italiano,,OK
a i,Pronombre,a los / a las,Español,,OK
a la,Pronombre,a la,Español,,OK
a la sanfasò,Pronombre,"descuidadamente, negligentemente, con descuido",Español,,OK
a la sonfasò,Pronombre,"descuidadamente, negligentemente, con descuido",Español,,OK
a li,Pronombre,a los / a las,Español,,OK
a lu,Pronombre,al,Español,,OK
a lu costituisti,Pronombre,"al punto, al dunque",Italiano,,OK
a pedi,Pronombre,"a pie, andando",Español,,OK
a picca a picca,Pronombre,poco a poco,Español,,OK
a prestu,Pronombre,¡hasta pronto!,Español,,OK
a u,Pronombre,al,Español,,OK
a vuluntà,Pronombre,"a voluntad, sin pagar",Español,,OK
abaciurru,Pronombre,tulipa de lámpara.,Español,,OK
abaciù,Pronombre,tulipa de lámpara.,Español,,OK
abati,Pronombre,abad,Español,,OK
abaticchiu,Pronombre,abad joven,Español,,OK
abba,Pronombre,amanecer,Español,,OK
abbabbalalà,Pronombre,"descuidadamente, negligentemente, con descuido",Español,,OK
abbabbalà,Pronombre,"descuidadamente, negligentemente, con descuido",Español,,OK
abbaccianariu,Pronombre,abecedario,Español,,OK
abbaciù,Pronombre,tulipa de lámpara.,Español,,OK
abbampalavuri,Pronombre,persona muy ocupada y muy desordenada,Español,,OK
abbaneddu,Pronombre,cernícalo común (Falco tinnunculus),Español,,OK
abbannunu,Pronombre,abandono,Español,,OK
abbappatu,Pronombre,"fanfarrón, guapo, jactancioso",Español,,OK
abbasta ca,Pronombre,"siempre que, con tal que",Español,,OK
abbasta chi,Pronombre,"siempre que, con tal que",Español,,OK
abbastacchì,Pronombre,"siempre que, con tal que",Español,,OK
abbasuni,Pronombre,besón,Español,,OK
abbati,Pronombre,abad,Español,,OK
abbaticchiu,Pronombre,abad joven,Español,,OK
abbecceddariu,Pronombre,abecedario,Español,,OK
abbeccennariu,Pronombre,abecedario,Español,,OK
abbeccè,Pronombre,abecé (alfabeto),Español,,OK
abbeggu,Pronombre,hotel,Español,,OK
abbergu,Pronombre,hotel,Español,,OK
abbeti,Pronombre,abeto,Español,,OK
abbezzè,Pronombre,abecé (alfabeto),Español,,OK
abbianu,Pronombre,"gaviota, gavia",Español,,OK
abbientu,Pronombre,"reposo, tranquilidad, paz",Español,,OK
abbiggiariu,Pronombre,ladrón de ganado,Español,,OK
abbiggiaru,Pronombre,ladrón de ganado,Español,,OK
abbilimentu,Pronombre,"envilecimiento, degradación",Español,,OK
abbilitati,Pronombre,habilidad,Español,,OK
abbilità,Pronombre,habilidad,Español,,OK
abbirgaturi,Pronombre,hotelero,Español,,OK
abbirintu,Pronombre,laberinto,Español,,OK
abbissi,Pronombre,abismos,Español,,OK
abbissu,Pronombre,abismo,Español,,OK
abbitanti,Pronombre,habitante,Español,,OK
abbitazioni,Pronombre,vivienda,Español,,OK
abbitazzioni,Pronombre,vivienda,Español,,OK
abbitùdini,Pronombre,costumbre,Español,,OK
abbitùtini,Pronombre,costumbre,Español,,OK
abbizzì,Pronombre,abecé (alfabeto),Español,,OK
abbraciu,Pronombre,orbace (tejido de lana),Español,,OK
abbramoria,Pronombre,deseo intenso,Español,,OK
abbriviazioni,Pronombre,abreviatura,Español,,OK
abbriviazzioni,Pronombre,abreviatura ''f'',Español,,OK
abbruzzisi,Pronombre,abruzés / dialecto abruzés,Español,,OK
abbuccuni,Pronombre,bocado,Español,,OK
abbuluni,Pronombre,"1. a voluntad, sin pagar, 2. mucho, en abundancia",Español,,OK
abbuluntà,Pronombre,"a voluntad, sin pagar",Español,,OK
abbunnanza,Pronombre,abundancia,Español,,OK
abbunnanzia,Pronombre,abundancia,Español,,OK
abburata,Pronombre,amanecer,Español,,OK
abburaturi,Pronombre,obrero del cobre,Español,,OK
abburi,Pronombre,"1. luminosidad, 2. amanecer",Español,,OK
abbusciu,Pronombre,boj común (Buxus sempervirens),Español,,OK
abbusu,Pronombre,abuso,Español,,OK
abcasu,Pronombre,abjaso / idioma abjaso,Español,,OK
abeti,Pronombre,abeto,Español,,OK
abilitati,Pronombre,habilidad,Español,,OK
abilità,Pronombre,habilidad,Español,,OK
abirintu,Pronombre,laberinto,Español,,OK
abissi,Pronombre,abismos,Español,,OK
abissu,Pronombre,abismo,Español,,OK
abitanti,Pronombre,habitante,Español,,OK
abitazioni,Pronombre,vivienda,Español,,OK
abitazzioni,Pronombre,vivienda,Español,,OK
abitùdini,Pronombre,costumbre,Español,,OK
abitùtini,Pronombre,costumbre,Español,,OK
abruzzisi,Pronombre,abruzés / dialecto abruzés,Español,,OK
abusu,Pronombre,abuso,Español,,OK
accademia,Pronombre,academia,Español,,OK
accanìa,Pronombre,hacanea,Español,,OK
accaremia,Pronombre,academia,Español,,OK
accasioni,Pronombre,"ocasión, oportunidad",Español,,OK
accatta caru e vinni mircatu,Pronombre,"Compra caro y vende barato. <small>''(Indica una persona que no sabe hacer negocios. Si jugaba en la bolsa, sería uno que compra acciones cuando están al valor máximo y las vende cuando están al valor mínimo.''</small>",Español,,OK
accentu,Pronombre,acento,Español,,OK
accessu,Pronombre,acceso,Español,,OK
accetta,Pronombre,hachuela,Español,,OK
accettu,Pronombre,ojal,Español,,OK
acchettu,Pronombre,ojal,Español,,OK
acchi cosa,Pronombre,algo,Español,,OK
acchiettu,Pronombre,ojal,Español,,OK
accia,Pronombre,"apio, raíz de apio",Español,,OK
acciaccu,Pronombre,"1. complote, 2. estorbo, 3. invalidez, discapacidad",Español,,OK
acciaru,Pronombre,acero,Español,,OK
acciettu,Pronombre,ojal,Español,,OK
acciotta,Pronombre,hachuela,Español,,OK
acciu,Pronombre,apio,Español,,OK
accostu,Pronombre,"al lado, al lado",Español,,OK
accuccuni,Pronombre,(en) cuclillas,Español,,OK
