Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
Asprumunti,Sustantivo,Aspromonte,Español,,OK
a curcurìu,Sustantivo,partecipazione in parti uguali alle spese di una cena o altro,Italiano,,OK
a curcurù,Sustantivo,partecipazione in parti uguali alle spese di una cena o altro,Italiano,,OK
a nenti,Sustantivo,por lo menos,Español,,OK
abbacchi ed abbocchi,Sustantivo,"en el peor, de forma descuidada",Español,,OK
abbaciurru,Sustantivo,tulipa de lámpara.,Español,,OK
abbacu,Sustantivo,tranquilidad,Español,,OK
abbidienti,Sustantivo,obediente,Español,,OK
abbirienti,Sustantivo,obediente,Español,,OK
abbisicchiatu,Sustantivo,desecado,Español,,OK
abboc ed abbac,Sustantivo,"en el peor, de forma descuidada",Español,,OK
accapari,Sustantivo,"accattivarsi (attirare, ingraziarsi)",Italiano,,OK
accinisi,Sustantivo,achinés / idioma achinés,Español,,OK
adangme,Sustantivo,"idioma adangme, idioma dangme",Español,,OK
affruntusu,Sustantivo,vergonzoso,Español,,OK
afrikaans,Sustantivo,"Afrikaans, idioma Afrikaans",Español,,OK
aggràttitu,Sustantivo,"achaque, enfermedad leve",Español,,OK
aghirettu,Sustantivo,"tipo de limonada, tipo de gaseosa",Español,,OK
agiu,Sustantivo,comodidad,Español,,OK
agnucastu,Sustantivo,"árbol casto (Vitex agnus castus), pimiento de los monjes",Español,,OK
agnunata,Sustantivo,rincón,Español,,OK
agnuni,Sustantivo,rincón,Español,,OK
agrettu,Sustantivo,"tipo de limonada, tipo de gaseosa",Español,,OK
agrùmulu,Sustantivo,"mirto de Bravante, mirto de turbera (Myrica gale)",Español,,OK
agugghiata,Sustantivo,"incitamiento, incitación",Español,,OK
agugghiera,Sustantivo,estuche para agujas (costura),Español,,OK
agumidda,Sustantivo,"camomila, manzanilla",Español,,OK
agunìa,Sustantivo,agonía,Español,,OK
aguriu,Sustantivo,"augurio, deseo, esperanza",Español,,OK
aira,Sustantivo,aire,Español,,OK
airettu,Sustantivo,"tipo de limonada, tipo de gaseosa",Español,,OK
airu,Sustantivo,aire,Español,,OK
aiuti,Sustantivo,ayudas,Español,,OK
ajuti,Sustantivo,ayudas,Español,,OK
akan,Sustantivo,idioma akan,Español,,OK
ala,Sustantivo,ala,Español,,OK
alabbama,Sustantivo,idioma alabama,Español,,OK
alaccia,Sustantivo,"alacha (Alosa fallax), lacha, saboga, alosa",Español,,OK
alappiu,Sustantivo,1. manzana de apio,Español,,OK
alappu,Sustantivo,1. manzana de apio,Español,,OK
alba,Sustantivo,amanecer,Español,,OK
alberanu,Sustantivo,papel (documento juridico privado),Español,,OK
alberghi,Sustantivo,hoteles,Español,,OK
alcol,Sustantivo,alcohol,Español,,OK
aleutinu,Sustantivo,aleutino / idioma aleutino,Español,,OK
alfabbetu,Sustantivo,alfabeto,Español,,OK
alfabetu,Sustantivo,alfabeto,Español,,OK
alfinu,Sustantivo,alfil (en el juego del ajedrez),Español,,OK
alimannu,Sustantivo,alemánico / dialecto alemánico,Español,,OK
alimentari,Sustantivo,tienda de comestibles,Español,,OK
alivi,Sustantivo,"olivas, aceitunas",Español,,OK
alivu,Sustantivo,olivo,Español,,OK
alloggiu,Sustantivo,alojamiento,Español,,OK
almenu,Sustantivo,"al menos, por lo menos",Español,,OK
alosa,Sustantivo,"alacha (Alosa fallax), lacha, saboga, alosa",Español,,OK
altizza,Sustantivo,altura,Español,,OK
alòfaru,Sustantivo,clavel,Español,,OK
amarena,Sustantivo,cereza (amarena),Español,,OK
ambasciata,Sustantivo,embajada,Español,,OK
ambrina,Sustantivo,"corballo (Umbrina cirrosa), verrugato",Español,,OK
ambulanza,Sustantivo,ambulancia,Español,,OK
amenta,Sustantivo,menta,Español,,OK
amiricanu,Sustantivo,"americano, estadounidense",Español,,OK
ammarazzu,Sustantivo,"estorbo, obstáculo",Español,,OK
ammasciata,Sustantivo,embajada,Español,,OK
ammazzamareddu,Sustantivo,"1. pesadilla, 2. demonio, 3. viento fuerte, viento violento",Español,,OK
ammizzigghi,Sustantivo,"melindre|melindres, ademán afectado|ademanes afectados, remilgo|remilgos",Español,,OK
ammizzigghia,Sustantivo,"melindre, ademán afectado, remilgo",Español,,OK
ammizzigghiu,Sustantivo,"melindre, ademán afectado, remilgo",Español,,OK
ammogghiu,Sustantivo,cantidad de cosas arrolladas,Español,,OK
ammozzi,Sustantivo,rayos de una rueda,Español,,OK
ammozzu,Sustantivo,rayo de una rueda,Español,,OK
amuredda,Sustantivo,"mora, zarzamora",Español,,OK
amàricu,Sustantivo,amárico / idioma amárico,Español,,OK
ana,Sustantivo,gran gana,Español,,OK
ananassu,Sustantivo,piña,Español,,OK
ancia,Sustantivo,"1. ansiedad, 2. dificultad para respirar",Español,,OK
ancidda,Sustantivo,anguila,Español,,OK
anciddi,Sustantivo,anguilas,Español,,OK
ancinagghia,Sustantivo,"ingle, parte anterior de los muslos",Español,,OK
ancuni,Sustantivo,codo,Español,,OK
ancùina,Sustantivo,yunque,Español,,OK
ancùnia,Sustantivo,yunque,Español,,OK
aneddu,Sustantivo,anillo,Español,,OK
anfa,Sustantivo,calor húmedo,Español,,OK
anga,Sustantivo,molar (diente),Español,,OK
angalarruni,Sustantivo,guimbarda (instrumento),Español,,OK
anghidda,Sustantivo,anguila,Español,,OK
anghiddi,Sustantivo,anguilas,Español,,OK
angia,Sustantivo,ansiedad,Español,,OK
anglusàssuni,Sustantivo,"anglosajón / idioma anglosajón, inglés antiguo (idioma)",Español,,OK
angulatura,Sustantivo,"pliegue de la rodilla, ángulo de la rodilla",Español,,OK
angunìa,Sustantivo,agonía,Español,,OK
angusciu,Sustantivo,angustia,Español,,OK
angustia,Sustantivo,angustia,Español,,OK
annaca,Sustantivo,collar precioso,Español,,OK
annacalora,Sustantivo,cuna (cama para el niño),Español,,OK
annaloru,Sustantivo,el que se compromete para un año,Español,,OK
annana,Sustantivo,pasillo (entre dos filas de cosas),Español,,OK
annenti,Sustantivo,por lo menos,Español,,OK
anniscu,Sustantivo,cebo (para la pesca),Español,,OK
anniversariu,Sustantivo,cumpleaños,Español,,OK
annivinagghia,Sustantivo,"adivinanza, acertijo",Español,,OK
annivirsariu,Sustantivo,cumpleaños,Español,,OK
annunziu,Sustantivo,anuncio,Español,,OK
annunzu,Sustantivo,anuncio,Español,,OK
annèttitu,Sustantivo,limpieza,Español,,OK
ansia,Sustantivo,ansiedad,Español,,OK
antiàcitu,Sustantivo,magnesia (polvo de óxido de magnesio usada como antiácido),Español,,OK
antàcitu,Sustantivo,magnesia (polvo de óxido de magnesio usada como antiácido),Español,,OK
anviluppu,Sustantivo,sobre (para mandar),Español,,OK
anzia,Sustantivo,ansiedad,Español,,OK
anèmulu,Sustantivo,Anémona amapola (Anemone coronaria),Español,,OK
aparu,Sustantivo,apicultor,Español,,OK
aperitivu,Sustantivo,aperitivo,Español,,OK
api,Sustantivo,abejas,Español,,OK
apiritivu,Sustantivo,aperitivo,Español,,OK
appagnu,Sustantivo,tipo de miedo por parte de los animales recalcitrantes,Español,,OK
appartamentu,Sustantivo,piso,Español,,OK
appeddu,Sustantivo,"1. timbre de campanas de funerales, 2. llamada",Español,,OK
appindiciti,Sustantivo,apendicitis,Español,,OK
appinniciti,Sustantivo,apendicitis,Español,,OK
appiu,Sustantivo,1. manzana de apio,Español,,OK
applàusu,Sustantivo,aplauso|aplausos,Español,,OK
appuddari,Sustantivo,incurvarsi,Italiano,,OK
appuntamentu,Sustantivo,cita,Español,,OK
arabbli,Sustantivo,tipo de arce (árbol),Español,,OK
arabli,Sustantivo,tipo de arce (árbol),Español,,OK
aragunisi,Sustantivo,aragonés / idioma aragonés,Español,,OK
aramàicu,Sustantivo,idioma arameo,Español,,OK
arancina,Sustantivo,bolita de arroz rellenada y frita,Español,,OK
arancini,Sustantivo,bolitas de arroz rellenadas y fritas,Español,,OK
arancinu,Sustantivo,bolita de arroz rellenada y frita,Español,,OK
arapaho,Sustantivo,idioma arapaho,Español,,OK
arawak,Sustantivo,idioma arawak,Español,,OK
arba,Sustantivo,amanecer,Español,,OK
arbaneddu,Sustantivo,tipo de álamo,Español,,OK
arbanisi,Sustantivo,albanés / idioma albanés,Español,,OK
arberghi,Sustantivo,hoteles,Español,,OK
arbitriu,Sustantivo,"albedrío, arbitrio, voluntad",Español,,OK
arbëreshë,Sustantivo,dialecto arbëreshë,Español,,OK
arcella,Sustantivo,"tellina (Donax trunculus), coquina",Español,,OK
arceri,Sustantivo,"arquero, saetero, flechador",Español,,OK
archioluggìa,Sustantivo,arqueología,Español,,OK
archiuluggìa,Sustantivo,arqueología,Español,,OK
arcipèlacu,Sustantivo,archipiélago,Español,,OK
arcipèlagu,Sustantivo,archipiélago,Español,,OK
arcirotta,Sustantivo,agachadiza común (Gallinago gallinago),Español,,OK
arciuni,Sustantivo,arzón,Español,,OK
arcova,Sustantivo,"trasalcoba, recámara",Español,,OK
arcubalenu,Sustantivo,arco iris,Español,,OK
arcubbalenu,Sustantivo,arco iris,Español,,OK
ardìcula,Sustantivo,ortiga,Español,,OK
aredi,Sustantivo,heredero,Español,,OK
aregna,Sustantivo,arenque,Español,,OK
arenga,Sustantivo,arenque,Español,,OK
areti,Sustantivo,heredero,Español,,OK
arfabbetu,Sustantivo,alfabeto,Español,,OK
arfabetu,Sustantivo,alfabeto,Español,,OK
argia,Sustantivo,"1. garganta (cuerpo), 2. axila",Español,,OK
aricchia,Sustantivo,oreja,Español,,OK
aricchina,Sustantivo,pendiente,Español,,OK
aricchinu,Sustantivo,pendiente,Español,,OK
arieri,Sustantivo,heredero,Español,,OK
ariuplanu,Sustantivo,"avión, aeroplano",Español,,OK
ariupranu,Sustantivo,"avión, aeroplano",Español,,OK
armadiu,Sustantivo,armario,Español,,OK
armaniu,Sustantivo,armario,Español,,OK
armariu,Sustantivo,armario,Español,,OK
armenu,Sustantivo,"armenio / idioma armenio / al menos, por lo menos",Español,,OK
armi,Sustantivo,"1.almas, 2. armas",Español,,OK
armigghi,Sustantivo,"herramientas, utensilios",Español,,OK
armiggi,Sustantivo,"herramientas, utensilios",Español,,OK
arminiu,Sustantivo,cosa muy brillante,Español,,OK
arpazza,Sustantivo,buitre,Español,,OK
arperi,Sustantivo,arpista,Español,,OK
arpitanu,Sustantivo,"idioma arpitano, idioma francoprovenzal",Español,,OK
arrammaggiu,Sustantivo,abordaje (piratas),Español,,OK
arrembaggiu,Sustantivo,abordaje (piratas),Español,,OK
arrimbaggiu,Sustantivo,abordaje (piratas),Español,,OK
arripezzu,Sustantivo,"acción de apedazar, acción de parchear",Español,,OK
arrisaccuni,Sustantivo,sacudida violenta,Español,,OK
arrispunnuta,Sustantivo,"respuesta, contestación",Español,,OK
arristagghiu,Sustantivo,"resto (comida, etc.)",Español,,OK
arrisèttitu,Sustantivo,"reposo, tranquilidad, paz",Español,,OK
arrivu,Sustantivo,llegada,Español,,OK
arruri,Sustantivo,error,Español,,OK
arrusu,Sustantivo,un joven homosexual,Español,,OK
arsella,Sustantivo,"tellina (Donax trunculus), coquina",Español,,OK
artanita,Sustantivo,ciclamen (planta: Cyclamen),Español,,OK
artìculu,Sustantivo,artículo,Español,,OK
aruca,Sustantivo,"landrilla, larva de insecto, oruga",Español,,OK
arumenu,Sustantivo,arumano / idioma arumano,Español,,OK
arvaneddu,Sustantivo,tipo de álamo,Español,,OK
arvanìticu,Sustantivo,"dialecto arvanítico, dialecto arvanítika",Español,,OK
aràsimu,Sustantivo,"holgazán, gandul, haragán",Español,,OK
arìganu,Sustantivo,orégano,Español,,OK
asami,Sustantivo,examen,Español,,OK
asattizza,Sustantivo,exactitud,Español,,OK
ascia,Sustantivo,hacha,Español,,OK
ascidda,Sustantivo,"axila, bajo el brazo",Español,,OK
ascinsuri,Sustantivo,ascensor,Español,,OK
ascinzuri,Sustantivo,ascensor,Español,,OK
asirciziu,Sustantivo,ejercicio,Español,,OK
asircizziu,Sustantivo,ejercicio,Español,,OK
aspirizza,Sustantivo,aspereza,Español,,OK
asprizza,Sustantivo,aspereza,Español,,OK
assaccareddi,Sustantivo,respiración difícil,Español,,OK
assaccata,Sustantivo,jadeo (acción de jadear),Español,,OK
assaccatina,Sustantivo,jadeo (acción de jadear),Español,,OK
assaccuni,Sustantivo,jadeo (acción de jadear),Español,,OK
assaggiu,Sustantivo,prueba,Español,,OK
assaiu,Sustantivo,prueba,Español,,OK
assaju,Sustantivo,prueba,Español,,OK
assamisi,Sustantivo,asamés / idioma asamés,Español,,OK
assassinu,Sustantivo,asesino,Español,,OK
assediu,Sustantivo,sitio,Español,,OK
asseggiu,Sustantivo,sitio,Español,,OK
assegnu,Sustantivo,cheque,Español,,OK
assenti,Sustantivo,ausente,Español,,OK
assenza,Sustantivo,ausencia,Español,,OK
