Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
abachiari,Verbo,"hacer la cuenta, contar, calcular",Español,1s:abachiu;2s:abachias;3s:abachia;1p:abachiamu;2p:abachiati;3p:abachianu;1s_pass:abachiai;2s_pass:abachiasti;3s_pass:abachiau;1p_pass:abachiàmuru;2p_pass:abachiàstivu;3p_pass:abachiàranu,OK
abbabbaniri,Verbo,volverse tonto,Español,1s:abbabbanu;2s:abbabbani;3s:abbabbani;1p:abbabbanimu;2p:abbabbaniti;3p:abbabbaninu;1s_pass:abbabbanii;2s_pass:abbabbanisti;3s_pass:abbabbanìu;1p_pass:abbabbanìmuru;2p_pass:abbabbanìstivu;3p_pass:abbabbanìranu,OK
abbabbasunari,Verbo,volverse tonto,Español,1s:abbabbasunu;2s:abbabbasunas;3s:abbabbasuna;1p:abbabbasunamu;2p:abbabbasunati;3p:abbabbasunanu;1s_pass:abbabbasunai;2s_pass:abbabbasunasti;3s_pass:abbabbasunau;1p_pass:abbabbasunàmuru;2p_pass:abbabbasunàstivu;3p_pass:abbabbasunàranu,OK
abbabbasuniri,Verbo,volverse tonto,Español,1s:abbabbasunu;2s:abbabbasuni;3s:abbabbasuni;1p:abbabbasunimu;2p:abbabbasuniti;3p:abbabbasuninu;1s_pass:abbabbasunii;2s_pass:abbabbasunisti;3s_pass:abbabbasunìu;1p_pass:abbabbasunìmuru;2p_pass:abbabbasunìstivu;3p_pass:abbabbasunìranu,OK
abbabbiri,Verbo,volver tonto,Español,1s:abbabbu;2s:abbabbi;3s:abbabbi;1p:abbabbimu;2p:abbabbiti;3p:abbabbinu;1s_pass:abbabbii;2s_pass:abbabbisti;3s_pass:abbabbìu;1p_pass:abbabbìmuru;2p_pass:abbabbìstivu;3p_pass:abbabbìranu,OK
abbacantari,Verbo,vaciar,Español,1s:abbacantu;2s:abbacantas;3s:abbacanta;1p:abbacantamu;2p:abbacantati;3p:abbacantanu;1s_pass:abbacantai;2s_pass:abbacantasti;3s_pass:abbacantau;1p_pass:abbacantàmuru;2p_pass:abbacantàstivu;3p_pass:abbacantàranu,OK
abbachiari,Verbo,"hacer la cuenta, contar, calcular / burlarse",Español,1s:abbachiu;2s:abbachias;3s:abbachia;1p:abbachiamu;2p:abbachiati;3p:abbachianu;1s_pass:abbachiai;2s_pass:abbachiasti;3s_pass:abbachiau;1p_pass:abbachiàmuru;2p_pass:abbachiàstivu;3p_pass:abbachiàranu,OK
abbadagghiari,Verbo,bostezar,Español,1s:abbadagghiu;2s:abbadagghias;3s:abbadagghia;1p:abbadagghiamu;2p:abbadagghiati;3p:abbadagghianu;1s_pass:abbadagghiai;2s_pass:abbadagghiasti;3s_pass:abbadagghiau;1p_pass:abbadagghiàmuru;2p_pass:abbadagghiàstivu;3p_pass:abbadagghiàranu,OK
abbadari,Verbo,"dar atención a, tener cuidado con, tener atención con",Español,1s:abbadu;2s:abbadas;3s:abbada;1p:abbadamu;2p:abbadati;3p:abbadanu;1s_pass:abbadai;2s_pass:abbadasti;3s_pass:abbadau;1p_pass:abbadàmuru;2p_pass:abbadàstivu;3p_pass:abbadàranu,OK
abbaddari,Verbo,"hundir (terreno), bajar / emborracharse, beber mucho alcohol / envolver en forma de pelota",Español,1s:abbaddu;2s:abbaddas;3s:abbadda;1p:abbaddamu;2p:abbaddati;3p:abbaddanu;1s_pass:abbaddai;2s_pass:abbaddasti;3s_pass:abbaddau;1p_pass:abbaddàmuru;2p_pass:abbaddàstivu;3p_pass:abbaddàranu,OK
abbaddunari,Verbo,"hundir (terreno), bajar",Español,1s:abbaddunu;2s:abbaddunas;3s:abbadduna;1p:abbaddunamu;2p:abbaddunati;3p:abbaddunanu;1s_pass:abbaddunai;2s_pass:abbaddunasti;3s_pass:abbaddunau;1p_pass:abbaddunàmuru;2p_pass:abbaddunàstivu;3p_pass:abbaddunàranu,OK
abbadduttulari,Verbo,envolver en forma de pelota,Español,1s:abbadduttulu;2s:abbadduttulas;3s:abbadduttula;1p:abbadduttulamu;2p:abbadduttulati;3p:abbadduttulanu;1s_pass:abbadduttulai;2s_pass:abbadduttulasti;3s_pass:abbadduttulau;1p_pass:abbadduttulàmuru;2p_pass:abbadduttulàstivu;3p_pass:abbadduttulàranu,OK
abbadduttuliari,Verbo,envolver en forma de pelota,Español,1s:abbadduttuliu;2s:abbadduttulias;3s:abbadduttulia;1p:abbadduttuliamu;2p:abbadduttuliati;3p:abbadduttulianu;1s_pass:abbadduttuliai;2s_pass:abbadduttuliasti;3s_pass:abbadduttuliau;1p_pass:abbadduttuliàmuru;2p_pass:abbadduttuliàstivu;3p_pass:abbadduttuliàranu,OK
abbaffari,Verbo,"ingozzare, ingrassare, rimpinzare, saziare",Italiano,1s:abbaffu;2s:abbaffas;3s:abbaffa;1p:abbaffamu;2p:abbaffati;3p:abbaffanu;1s_pass:abbaffai;2s_pass:abbaffasti;3s_pass:abbaffau;1p_pass:abbaffàmuru;2p_pass:abbaffàstivu;3p_pass:abbaffàranu,OK
abbagnari,Verbo,mojar,Español,1s:abbagnu;2s:abbagnas;3s:abbagna;1p:abbagnamu;2p:abbagnati;3p:abbagnanu;1s_pass:abbagnai;2s_pass:abbagnasti;3s_pass:abbagnau;1p_pass:abbagnàmuru;2p_pass:abbagnàstivu;3p_pass:abbagnàranu,OK
abbaiari,Verbo,"1. ladrar, 2. gritar",Español,1s:abbaiu;2s:abbaias;3s:abbaia;1p:abbaiamu;2p:abbaiati;3p:abbaianu;1s_pass:abbaiai;2s_pass:abbaiasti;3s_pass:abbaiau;1p_pass:abbaiàmuru;2p_pass:abbaiàstivu;3p_pass:abbaiàranu,OK
abbajari,Verbo,"1. ladrar, 2. gritar",Español,1s:abbaju;2s:abbajas;3s:abbaja;1p:abbajamu;2p:abbajati;3p:abbajanu;1s_pass:abbajai;2s_pass:abbajasti;3s_pass:abbajau;1p_pass:abbajàmuru;2p_pass:abbajàstivu;3p_pass:abbajàranu,OK
abbalanzari,Verbo,"equilibrar, contrabalancear",Español,1s:abbalanzu;2s:abbalanzas;3s:abbalanza;1p:abbalanzamu;2p:abbalanzati;3p:abbalanzanu;1s_pass:abbalanzai;2s_pass:abbalanzasti;3s_pass:abbalanzau;1p_pass:abbalanzàmuru;2p_pass:abbalanzàstivu;3p_pass:abbalanzàranu,OK
abbalatari,Verbo,"pavimentar, enlosar",Español,1s:abbalatu;2s:abbalatas;3s:abbalata;1p:abbalatamu;2p:abbalatati;3p:abbalatanu;1s_pass:abbalatai;2s_pass:abbalatasti;3s_pass:abbalatau;1p_pass:abbalatàmuru;2p_pass:abbalatàstivu;3p_pass:abbalatàranu,OK
