Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
'nciappaficu,Verbo,"cravatta a farfalla, papillon",Italiano,,OK
Abbentu,Verbo,Adviento (en el año litúrgico cristiano),Español,,OK
Avventu,Verbo,Adviento (en el año litúrgico cristiano),Español,,OK
Sabir,Verbo,"Sabir, lingua franca mediterránea",Español,,OK
a ganguluni,Verbo,piano piano,Italiano,,OK
a l'antrasatta,Verbo,"de improviso, de repente",Español,,OK
a la ntrasatta,Verbo,"de improviso, de repente",Español,,OK
abachiari,Verbo,"hacer la cuenta, contar, calcular",Español,"abachiu, abachias, abachia, abachiamu, abachiati, abachianu, abachiai, abachiasti, abachiau, abachiàmuru, abachiàstivu, abachiàranu",OK
abacu,Verbo,tranquilidad,Español,,OK
abbabbaniri,Verbo,volverse tonto,Español,"abbabbanu, abbabbani, abbabbani, abbabbanimu, abbabbaniti, abbabbaninu, abbabbanii, abbabbanisti, abbabbanìu, abbabbanìmuru, abbabbanìstivu, abbabbanìranu",OK
abbabbasunari,Verbo,volverse tonto,Español,"abbabbasunu, abbabbasunas, abbabbasuna, abbabbasunamu, abbabbasunati, abbabbasunanu, abbabbasunai, abbabbasunasti, abbabbasunau, abbabbasunàmuru, abbabbasunàstivu, abbabbasunàranu",OK
abbabbasunatu,Verbo,"vuelto tonto, vuelto imbécil",Español,,OK
abbabbasuniri,Verbo,volverse tonto,Español,"abbabbasunu, abbabbasuni, abbabbasuni, abbabbasunimu, abbabbasuniti, abbabbasuninu, abbabbasunii, abbabbasunisti, abbabbasunìu, abbabbasunìmuru, abbabbasunìstivu, abbabbasunìranu",OK
abbabbasunutu,Verbo,"vuelto tonto, vuelto imbécil",Español,,OK
abbabbiri,Verbo,volver tonto,Español,"abbabbu, abbabbi, abbabbi, abbabbimu, abbabbiti, abbabbinu, abbabbii, abbabbisti, abbabbìu, abbabbìmuru, abbabbìstivu, abbabbìranu",OK
abbacantari,Verbo,vaciar,Español,"abbacantu, abbacantas, abbacanta, abbacantamu, abbacantati, abbacantanu, abbacantai, abbacantasti, abbacantau, abbacantàmuru, abbacantàstivu, abbacantàranu",OK
abbacchiu,Verbo,debilidad moral,Español,,OK
abbachiari,Verbo,"hacer la cuenta, contar, calcular / burlarse",Español,"abbachiu, abbachias, abbachia, abbachiamu, abbachiati, abbachianu, abbachiai, abbachiasti, abbachiau, abbachiàmuru, abbachiàstivu, abbachiàranu",OK
abbadagghiari,Verbo,bostezar,Español,"abbadagghiu, abbadagghias, abbadagghia, abbadagghiamu, abbadagghiati, abbadagghianu, abbadagghiai, abbadagghiasti, abbadagghiau, abbadagghiàmuru, abbadagghiàstivu, abbadagghiàranu",OK
abbadari,Verbo,"dar atención a, tener cuidado con, tener atención con",Español,"abbadu, abbadas, abbada, abbadamu, abbadati, abbadanu, abbadai, abbadasti, abbadau, abbadàmuru, abbadàstivu, abbadàranu",OK
abbadatu,Verbo,atento,Español,,OK
abbaddari,Verbo,"hundir (terreno), bajar / emborracharse, beber mucho alcohol / envolver en forma de pelota",Español,"abbaddu, abbaddas, abbadda, abbaddamu, abbaddati, abbaddanu, abbaddai, abbaddasti, abbaddau, abbaddàmuru, abbaddàstivu, abbaddàranu",OK
abbaddunari,Verbo,"hundir (terreno), bajar",Español,"abbaddunu, abbaddunas, abbadduna, abbaddunamu, abbaddunati, abbaddunanu, abbaddunai, abbaddunasti, abbaddunau, abbaddunàmuru, abbaddunàstivu, abbaddunàranu",OK
