Palabra,Sustantivo,Traduccion,Idioma,Conjugaciones,Estado
Addamu,Sustantivo,Adán,Español,,OK
Amèrica,Sustantivo,América,Español,,OK
Arfabbetu Funèticu Nternazziunali,Sustantivo,Alfabeto Fonético Internacional,Español,,OK
Aropa,Sustantivo,Europa,Español,,OK
Auropa,Sustantivo,Europa,Español,,OK
Basiliscu,Sustantivo,monstruo legendario,Español,,OK
Birnardu,Sustantivo,Bernardo,Español,,OK
Brasili,Sustantivo,Brasil,Español,,OK
Calabbria,Sustantivo,Calabria,Español,,OK
Calabria,Sustantivo,Calabria,Español,,OK
Diotru,Sustantivo,elefante,Español,,OK
Dullindana,Verbo,Durandarte (espada de Roldán),Español,,OK
Durlindana,Verbo,Durandarte (espada de Roldán),Español,,OK
Durrindana,Verbo,Durandarte (espada de Roldán),Español,,OK
Europa,Sustantivo,Europa,Español,,OK
Figgi,Sustantivo,Fiji,Español,,OK
Franciscu,Sustantivo,Francisco,Español,,OK
Giappuni,Sustantivo,Japón,Español,,OK
Gènua,Sustantivo,Génova,Español,,OK
Islanna,Sustantivo,Islanda,Español,,OK
Liotru,Sustantivo,elefante,Español,,OK
Malta,Sustantivo,Malta,Español,,OK
Martinu,Sustantivo,Martín,Español,,OK
Maumettu,Sustantivo,Mahoma,Español,,OK
Micheli,Sustantivo,Miguel,Español,,OK
Mèrica,Sustantivo,América,Español,,OK
Natali,Sustantivo,Navidad,Español,,OK
Quarèsima,Verbo,Cuaresma,Español,,OK
Saturnu,Sustantivo,Saturno,Español,,OK
Terra,Sustantivo,Tierra,Español,,OK
Wikizziunariu,Sustantivo,Wikcionario,Español,,OK
a babbalà,Sustantivo,a poco prezzo,Italiano,,OK 
a cazzicaledda,Verbo,paseo a cuestas,Español,,OK
a ccussì,Verbo,"así, de esta forma",Español,,OK
a cussì,Verbo,"así, de esta forma",Español,,OK
a ddì ddì,Sustantivo,de paseo,Español,,OK
a firristò,Sustantivo,"col cervello in volta, traviato (di mente)",Italiano,,OK
a gangalà,Sustantivo,a poco prezzo,Italiano,,OK
a i,Sustantivo,a los / a las,Español,,OK
a la,Sustantivo,a la,Español,,OK
a la sanfasò,Verbo,"descuidadamente, negligentemente, con descuido",Español,,OK
a la sonfasò,Verbo,"descuidadamente, negligentemente, con descuido",Español,,OK
a li,Sustantivo,a los / a las,Español,,OK
a lu,Sustantivo,al,Español,,OK
a lu costituisti,Sustantivo,"al punto, al dunque",Italiano,,OK
a pedi,Sustantivo,"a pie, andando",Español,,OK
a picca a picca,Sustantivo,poco a poco,Español,,OK
a prestu,Sustantivo,¡hasta pronto!,Español,,OK
a u,Sustantivo,al,Español,,OK
a vuluntà,Sustantivo,"a voluntad, sin pagar",Español,,OK
abaciurru,Conjunción/Adverbio,tulipa de lámpara.,Español,,OK
abaciù,Conjunción/Adverbio,tulipa de lámpara.,Español,,OK
abati,Sustantivo,abad,Español,,OK
abaticchiu,Sustantivo,abad joven,Español,,OK
abba,Sustantivo,amanecer,Español,,OK
abbabbalalà,Verbo,"descuidadamente, negligentemente, con descuido",Español,,OK
abbabbalà,Verbo,"descuidadamente, negligentemente, con descuido",Español,,OK
abbaccianariu,Sustantivo,abecedario,Español,,OK
abbaciù,Conjunción/Adverbio,tulipa de lámpara.,Español,,OK
abbampalavuri,Verbo,persona muy ocupada y muy desordenada,Español,,OK
abbaneddu,Sustantivo,cernícalo común (Falco tinnunculus),Español,,OK
abbannunu,Sustantivo,abandono,Español,,OK
abbappatu,Sustantivo,"fanfarrón, guapo, jactancioso",Español,,OK
abbasta ca,Sustantivo,"siempre que, con tal que",Español,,OK
abbasta chi,Sustantivo,"siempre que, con tal que",Español,,OK
abbastacchì,Sustantivo,"siempre que, con tal que",Español,,OK
abbasuni,Verbo,besón,Español,,OK
abbati,Sustantivo,abad,Español,,OK
abbaticchiu,Sustantivo,abad joven,Español,,OK
abbecceddariu,Sustantivo,abecedario,Español,,OK
abbeccennariu,Sustantivo,abecedario,Español,,OK
abbeccè,Sustantivo,abecé (alfabeto),Español,,OK
abbeggu,Sustantivo,hotel,Español,,OK
abbergu,Sustantivo,hotel,Español,,OK
abbeti,Sustantivo,abeto,Español,,OK
abbezzè,Sustantivo,abecé (alfabeto),Español,,OK
abbianu,Sustantivo,"gaviota, gavia",Español,,OK
abbientu,Sustantivo,"reposo, tranquilidad, paz",Español,,OK
abbiggiariu,Sustantivo,ladrón de ganado,Español,,OK
