LEMA                           | CATEGORÍA      
--------------------------------------------------
èsimu                          | num            
ini                            | num            
gu                             | desconocido    
di                             | desconocido    
al                             | desconocido    
ma                             | cnjcoo         
cui                            | prn            
chiddu                         | rel            
iu                             | adj            
un                             | det            
me                             | det            
to                             | det            
so                             | det            
qualunqui                      | det            
iu                             | n              
ati                            | n              
uti                            | n              
ssa                            | n              
uri                            | n              
ia                             | n              
ura                            | n              
zioni                          | n              
sioni                          | n              
ìa                             | n              
empu                           | n              
di                             | pr             
nta                            | pr             
cu                             | pr             
pi                             | pr             
tu                             | adj            
cci                            | prn            
lu                             | prn            
mi                             | prn            
ni                             | prn            
ti                             | prn            
vi                             | prn            
si                             | prn            
arisi                          | vblex          
c'è                            | vblex          
èssiri                         | vbser          
aviri                          | inf            
haiu                           | pri            
aiu                            | pri            
hai                            | pri            
ai                             | pri            
havi                           | pri            
avi                            | pri            
hà                             | pri            
ava                            | pri            
hava                           | pri            
avemu                          | pri            
hemu                           | pri            
hamu                           | pri            
aviti                          | pri            
hannu                          | pri            
annu                           | pri            
hai                            | imp            
havi                           | imp            
avemu                          | imp            
aviti                          | imp            
hannu                          | imp            
aia                            | prs            
ai                             | prs            
aiamu                          | prs            
aiati                          | prs            
àianu                          | prs            
avìa                           | pii            
avia                           | pii            
avivi                          | pii            
avìamu                         | pii            
aviamu                         | pii            
avìavu                         | pii            
aviavu                         | pii            
avìanu                         | pii            
avianu                         | pii            
havia                          | pii            
havìa                          | pii            
havivi                         | pii            
havìamu                        | pii            
haviamu                        | pii            
havìavu                        | pii            
haviavu                        | pii            
havìanu                        | pii            
havianu                        | pii            
avirrìa                        | cni            
avissi                         | cni            
avirrìamu                      | cni            
avirrìavu                      | cni            
avirrìanu                      | cni            
appi                           | ifi            
ebbi                           | ifi            
avisti                         | ifi            
happi                          | ifi            
àppimu                         | ifi            
èbbimu                         | ifi            
ebbimu                         | ifi            
happimu                        | ifi            
hàppimu                        | ifi            
avìstivu                       | ifi            
avistivu                       | ifi            
àppiru                         | ifi            
happiru                        | ifi            
hàppiru                        | ifi            
èbbiru                         | ifi            
avissi                         | pis            
avìssimu                       | pis            
avìssivu                       | pis            
avìssiru                       | pis            
avissimu                       | pis            
avissivu                       | pis            
avissiru                       | pis            
avut                           | pp             
àvut                           | pp             
avennu                         | ger            
aviri                          | vblex          
aviri                          | vbhaver        
ari                            | vblex          
iri                            | vblex          
iari                           | vblex          
utiri                          | vbmod          
ènniri                         | vblex          
èttiri                         | vblex          
ìviri                          | vblex          
èniri                          | vblex          
uliri                          | vblex          
ìdiri                          | vblex          
ùnniri                         | vblex          
gràpiri                        | vblex          
àriri                          | vblex          
èrdiri                         | vblex          
òniri                          | vblex          
ari                            | pri            
apiri                          | vblex          
iamo                           | pri            
affacciarisi                   | vblex          
ficcarisi                      | vblex          
ammuttarisi                    | vblex          
mmagginarisi                   | vblex          
addinucchiarisi                | vblex          
spiciarisi                     | vblex          
abbicinarisi                   | vblex          
curcarisi                      | vblex          
assuciarisi                    | vblex          
cuminicarisi                   | vblex          
lamintarisi                    | vblex          
pricipitarisi                  | vblex          
immagginarisi                  | vblex          
lauriarisi                     | vblex          
ciaccarisi                     | vblex          
fermarisi                      | vblex          
impegnarisi                    | vblex          
‘nguaggiarisi                  | vblex          
inclinarisi                    | vblex          
prijarisi                      | vblex          
figurarisi                     | vblex          
imbarcarisi                    | vblex          
scurdarisi                     | vblex          
separarisi                     | vblex          
ambintarisi                    | vblex          
appricarisi                    | vblex          
isarisi                        | vblex          
chiamarisi                     | vblex          
quardarisi                     | vblex          
spusarisi                      | vblex          
procurarisi                    | vblex          
sbrigarisi                     | vblex          
cunfarisi                      | vblex          
ancrignarisi                   | vblex          
assicurarisi                   | vblex          
ribbellarisi                   | vblex          
dedicarisi                     | vblex          
prisintarisi                   | vblex          
addunarisi                     | vblex          
beffarisi                      | vblex          
affrittarisi                   | vblex          
ammazzarisi                    | vblex          
preoccuparisi                  | vblex          
ricudarisi                     | vblex          
canciarisi                     | vblex          
inchinarisi                    | vblex          
spugghiarisi                   | vblex          
impirugghiarisi                | vblex          
‘ncagnarisi                    | vblex          
scuntrarisi                    | vblex          
priarisi                       | vblex          
fidarisi                       | vblex          
burlarisi                      | vblex          
piegarisi                      | vblex          
annigarisi                     | vblex          
dilettarisi                    | vblex          
ajutarisi                      | vblex          
arraggiarisi                   | vblex          
stancarisi                     | vblex          
sazziarisi                     | vblex          
rivelarisi                     | vblex          
ncazzarisi                     | vblex          
sistimarisi                    | vblex          
riaffacciarisi                 | vblex          
rivutarisi                     | vblex          
spicciarisi                    | vblex          
‘ngrupparisi                   | vblex          
sciattarisi                    | vblex          
‘mmuscarisi                    | vblex          
sbarazzarisi                   | vblex          
farisi                         | vblex          
assittarisi                    | vblex          
cungratularisi                 | vblex          
sullivarisi                    | vblex          
avvicinarisi                   | vblex          
nausiarisi                     | vblex          
slanciarisi                    | vblex          
cumunicarisi                   | vblex          
ribbillarisi                   | vblex          
arricriarisi                   | vblex          
sunnarisi                      | vblex          
stinnicchiarisi                | vblex          
sciarriarisi                   | vblex          
avvirarisi                     | vblex          
livarisi                       | vblex          
spassiarisi                    | vblex          
felicitarisi                   | vblex          
abbigghiarisi                  | vblex          
arrifarisi                     | vblex          
bifurcarisi                    | vblex          
arrampicarisi                  | vblex          
jiri                           | vblex          
òriri                          | vblex          
ca                             | desconocido    
zoè                            | desconocido    
siddu                          | desconocido    
pircchì                        | desconocido    
nè                             | desconocido    
menu                           | desconocido    
binchì                         | desconocido    
finu                           | desconocido    
nnô                            | desconocido    
nustanti                       | desconocido    
mentri                         | desconocido    
contra                         | desconocido    
senza                          | desconocido    
supra                          | desconocido    
doppu                          | desconocido    
per                            | desconocido    
ntornu                         | desconocido    
narreri                        | desconocido    
nzinu                          | desconocido    
grazzi                         | desconocido    
avanzi                         | desconocido    
davanti                        | desconocido    
nveci                          | desconocido    
juntu                          | desconocido    
oltri                          | desconocido    
pi                             | desconocido    
nfatti                         | desconocido    
io                             | desconocido    
vossìa                         | desconocido    
nuatri                         | desconocido    
vuatri                         | desconocido    
si                             | desconocido    
hi                             | desconocido    
zoccu                          | desconocido    
cui                            | desconocido    
nenti                          | desconocido    
chist                          | desconocido    
chiss                          | desconocido    
chidd                          | desconocido    
quarcunu                       | desconocido    
quarchidunu                    | desconocido    
arcun                          | desconocido    
ognidunu                       | desconocido    
dui                            | desconocido    
cincu                          | desconocido    
secunn                         | desconocido    
uttav                          | desconocido    
nànn                           | desconocido    
nannàvul                       | desconocido    
monac                          | desconocido    
putiar                         | desconocido    
arìgan                         | desconocido    
eliment                        | desconocido    
gatt                           | desconocido    
pruggett                       | desconocido    
indìz                          | desconocido    
parol                          | desconocido    
talian                         | desconocido    
tudisc                         | desconocido    
ngrisi                         | desconocido    
prisidenti                     | desconocido    
form                           | desconocido    
stor                           | desconocido    
disert                         | desconocido    
finòmin                        | desconocido    
ìsul                           | desconocido    
doppuguerr                     | desconocido    
enirg                          | desconocido    
particell                      | desconocido    
mimori                         | desconocido    
genti                          | desconocido    
ntit                           | desconocido    
prutuni                        | desconocido    
niutrùni                       | desconocido    
ripùbbric                      | desconocido    
culon                          | desconocido    
ndulicenz                      | desconocido    
pupulaz                        | desconocido    
pruduz                         | desconocido    
equaz                          | desconocido    
attinz                         | desconocido    
pubbricaz                      | desconocido    
pusiz                          | desconocido    
furmaz                         | desconocido    
esercit                        | desconocido    
corp                           | desconocido    
mper                           | desconocido    
pirsunagg                      | desconocido    
pirsun                         | desconocido    
trasport                       | desconocido    
jinnar                         | desconocido    
ma                             | desconocido    
ttùvir                         | desconocido    
mutiv                          | desconocido    
citati                         | desconocido    
cit                            | desconocido    
cumunit                        | desconocido    
pruprit                        | desconocido    
univirsit                      | desconocido    
vilucit                        | desconocido    
mussulman                      | desconocido    
riliggiuni                     | desconocido    
assimbre                       | desconocido    
nnipinnenz                     | desconocido    
àr                             | desconocido    
fòrmul                         | desconocido    
fratr                          | desconocido    
pinìsul                        | desconocido    
littiratur                     | desconocido    
cultur                         | desconocido    
nfruenz                        | desconocido    
carattirìstic                  | desconocido    
àstric                         | desconocido    
tirritor                       | desconocido    
supirfici                      | desconocido    
capulòc                        | desconocido    
prugramm                       | desconocido    
puet                           | desconocido    
jovidìa                        | desconocido    
sabbatudìa                     | desconocido    
libbr                          | desconocido    
lign                           | desconocido    
sirvizz                        | desconocido    
ginocch                        | desconocido    
sucit                          | desconocido    
divinit                        | desconocido    
parit                          | desconocido    
capacit                        | desconocido    
pubbricit                      | desconocido    
idintit                        | desconocido    
particularit                   | desconocido    
nvalidit                       | desconocido    
omusissualit                   | desconocido    
cruci                          | desconocido    
pruspirit                      | desconocido    
quantit                        | desconocido    
difficult                      | desconocido    
attivit                        | desconocido    
civilt                         | desconocido    
mpussibbilit                   | desconocido    
virit                          | desconocido    
libbirt                        | desconocido    
oppurtunit                     | desconocido    
uggittivit                     | desconocido    
Villade                        | desconocido    
rarit                          | desconocido    
strimit                        | desconocido    
filicit                        | desconocido    
lucalit                        | desconocido    
estremit                       | desconocido    
pupularit                      | desconocido    
prubbabbilit                   | desconocido    
qualit                         | desconocido    
dinsit                         | desconocido    
nubilit                        | desconocido    
prufunnit                      | desconocido    
curiusit                       | desconocido    
vulunt                         | desconocido    
pussibbilit                    | desconocido    
rialt                          | desconocido    
rilativit                      | desconocido    
unist                          | desconocido    
pirsunalit                     | desconocido    
rispunzabbilit                 | desconocido    
spicialit                      | desconocido    
firtilit                       | desconocido    
nicissit                       | desconocido    
puvirt                         | desconocido    
redit                          | desconocido    
moralit                        | desconocido    
assuciaz                       | desconocido    
fidiraz                        | desconocido    
soc                            | desconocido    
ebbre                          | desconocido    
armar                          | desconocido    
argintin                       | desconocido    
barbar                         | desconocido    
ferr                           | desconocido    
chilòmitri                     | desconocido    
lìmit                          | desconocido    
stitut                         | desconocido    
fàbbric                        | desconocido    
fluss                          | desconocido    
avvucat                        | desconocido    
estètic                        | desconocido    
fogghi                         | desconocido    
giustizzi                      | desconocido    
giustizz                       | desconocido    
frunter                        | desconocido    
àncur                          | desconocido    
uguaglianz                     | desconocido    
ide                            | desconocido    
mprisa                         | desconocido    
prubblem                       | desconocido    
anàlisi                        | desconocido    
latitùdini                     | desconocido    
ntiggraz                       | desconocido    
ammasciatur                    | desconocido    
mutur                          | desconocido    
miliun                         | desconocido    
UNESCO                         | desconocido    
ussirvaz                       | desconocido    
uccupaz                        | desconocido    
